,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
691,Nissan,Juke,1.0 Dig-t Visia 4x2 114,2021,09,40.118 km,Gasolina,114 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-juke-10-dig-t-visia-4x2-114-en-sevilla.htm?id=8112958,18950
692,Nissan,X-Trail,1.3 Dig-t Acenta 4x2 Dct,2019,09,49.331 km,Gasolina,160 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-x-trail-13-dig-t-acenta-4x2-dct-en-sevilla.htm?id=8126185,23450
693,Nissan,Qashqai,1.3 Dig-t Acenta 4x2 103kw,2020,02,52.100 km,Gasolina,140 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-13-dig-t-acenta-4x2-103kw-en-sevilla.htm?id=8121012,19450
694,Nissan,Ariya,Evolve 87 Kwh 4x2,2023,01,10.074 km,Eléctrico,242 CV,"directo, sin caja de cambios",5 puertas,NEGRO METALIZADO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-ariya-evolve-87-kwh-4x2-en-vizcaya.htm?id=8110788,53650
695,Nissan,Juke,1.0 Dig-t Visia 4x2 114,2021,09,65.458 km,Gasolina,114 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-juke-10-dig-t-visia-4x2-114-en-sevilla.htm?id=8045762,18450
696,Nissan,Micra,Ig-t Acenta 92,2022,02,8.738 km,Gasolina,92 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-nissan-micra-ig-t-acenta-92-en-barcelona.htm?id=8043648,14900
697,Nissan,Micra,Ig-t Acenta 92,2021,06,36.773 km,Gasolina,92 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-acenta-92-en-barcelona.htm?id=8025726,13900
698,Nissan,Micra,Ig-t Acenta 92,2022,02,13.441 km,Gasolina,92 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-acenta-92-en-barcelona.htm?id=7942235,14900
699,Nissan,Ariya,Evolve 63 Kwh 4x2,2023,04,725 km,Eléctrico,217 CV,"directo, sin caja de cambios",5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-nissan-ariya-evolve-63-kwh-4x2-en-barcelona.htm?id=7851035,50900
700,Nissan,Micra,Ig-t Acenta 92,2021,03,28.264 km,Gasolina,92 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-acenta-92-en-barcelona.htm?id=7851033,13900
701,Nissan,Micra,Ig-t Acenta 92,2022,03,8.555 km,Gasolina,92 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-nissan-micra-ig-t-acenta-92-en-barcelona.htm?id=7827147,14900
702,Nissan,Micra,Ig-t Acenta 92,2022,02,10.617 km,Gasolina,92 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-acenta-92-en-barcelona.htm?id=7827137,14900
703,Nissan,Micra,Ig-t Acenta 92,2022,02,11.352 km,Gasolina,92 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-acenta-92-en-barcelona.htm?id=7827124,14900
704,Nissan,Micra,Ig-t Acenta 92,2022,02,11.400 km,Gasolina,92 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-acenta-92-en-barcelona.htm?id=7827122,14900
705,Nissan,Leaf,Visia 30kwh,2018,01,58.039 km,Eléctrico,109 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-leaf-visia-30kwh-en-sevilla.htm?id=7566545,12950
706,Nissan,Qashqai,1.3 Dig-t Acenta 4x2 103kw,2019,06,81.330 km,Gasolina,140 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-13-dig-t-acenta-4x2-103kw-en-sevilla.htm?id=8118009,19450
707,Nissan,Qashqai,1.2 Dig-t Visia 4x2,2018,08,55.157 km,Gasolina,115 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-12-dig-t-visia-4x2-en-sevilla.htm?id=8112959,17950
708,Nissan,Micra,Ig-t Acenta Sprint 92,2023,02,11.207 km,Gasolina,92 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-acenta-sprint-92-en-barcelona.htm?id=8081112,16500
709,Nissan,Micra,Ig-t Acenta Cvt 92,2022,04,11.649 km,Gasolina,92 CV,automática continua,5 puertas,Beige,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-acenta-cvt-92-en-barcelona.htm?id=8078040,17500
710,Nissan,Micra,Ig-t Acenta 92,2022,04,29.088 km,Gasolina,92 CV,manual,5 puertas,Beige,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-acenta-92-en-barcelona.htm?id=7975009,15500
711,Nissan,Juke,1.0 Dig-t Visia 4x2 114,2021,09,40.118 km,Gasolina,114 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-juke-10-dig-t-visia-4x2-114-en-sevilla.htm?id=8112958,18950
712,Nissan,X-Trail,1.3 Dig-t Acenta 4x2 Dct,2019,09,49.331 km,Gasolina,160 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-x-trail-13-dig-t-acenta-4x2-dct-en-sevilla.htm?id=8126185,23450
713,Nissan,Qashqai,1.3 Dig-t Acenta 4x2 103kw,2020,02,52.100 km,Gasolina,140 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-13-dig-t-acenta-4x2-103kw-en-sevilla.htm?id=8121012,19450
714,Nissan,Ariya,Evolve 87 Kwh 4x2,2023,01,10.074 km,Eléctrico,242 CV,"directo, sin caja de cambios",5 puertas,NEGRO METALIZADO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-ariya-evolve-87-kwh-4x2-en-vizcaya.htm?id=8110788,53650
715,Nissan,Juke,1.0 Dig-t Visia 4x2 114,2021,09,65.458 km,Gasolina,114 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-juke-10-dig-t-visia-4x2-114-en-sevilla.htm?id=8045762,18450
716,Nissan,Micra,Ig-t Acenta 92,2022,02,8.738 km,Gasolina,92 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-nissan-micra-ig-t-acenta-92-en-barcelona.htm?id=8043648,14900
717,Nissan,Micra,Ig-t Acenta 92,2021,06,36.773 km,Gasolina,92 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-acenta-92-en-barcelona.htm?id=8025726,13900
718,Nissan,Micra,Ig-t Acenta 92,2022,02,13.441 km,Gasolina,92 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-acenta-92-en-barcelona.htm?id=7942235,14900
719,Nissan,Ariya,Evolve 63 Kwh 4x2,2023,04,725 km,Eléctrico,217 CV,"directo, sin caja de cambios",5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-nissan-ariya-evolve-63-kwh-4x2-en-barcelona.htm?id=7851035,50900
720,Nissan,Micra,Ig-t Acenta 92,2021,03,28.264 km,Gasolina,92 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-acenta-92-en-barcelona.htm?id=7851033,13900
721,Nissan,Micra,Ig-t Acenta 92,2022,03,8.555 km,Gasolina,92 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-nissan-micra-ig-t-acenta-92-en-barcelona.htm?id=7827147,14900
722,Nissan,Micra,Ig-t Acenta 92,2022,02,10.617 km,Gasolina,92 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-acenta-92-en-barcelona.htm?id=7827137,14900
723,Nissan,Micra,Ig-t Acenta 92,2022,02,11.352 km,Gasolina,92 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-acenta-92-en-barcelona.htm?id=7827124,14900
724,Nissan,Micra,Ig-t Acenta 92,2022,02,11.400 km,Gasolina,92 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-acenta-92-en-barcelona.htm?id=7827122,14900
725,Nissan,Leaf,Visia 30kwh,2018,01,58.039 km,Eléctrico,109 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-leaf-visia-30kwh-en-sevilla.htm?id=7566545,12950
726,Nissan,Qashqai,1.3 Dig-t Acenta 4x2 103kw,2019,06,81.330 km,Gasolina,140 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-13-dig-t-acenta-4x2-103kw-en-sevilla.htm?id=8118009,19450
727,Nissan,Qashqai,1.2 Dig-t Visia 4x2,2018,08,55.157 km,Gasolina,115 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-12-dig-t-visia-4x2-en-sevilla.htm?id=8112959,17950
728,Nissan,Micra,Ig-t Acenta Sprint 92,2023,02,11.207 km,Gasolina,92 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-acenta-sprint-92-en-barcelona.htm?id=8081112,16500
729,Nissan,Micra,Ig-t Acenta Cvt 92,2022,04,11.649 km,Gasolina,92 CV,automática continua,5 puertas,Beige,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-acenta-cvt-92-en-barcelona.htm?id=8078040,17500
730,Nissan,Micra,Ig-t Acenta 92,2022,04,29.088 km,Gasolina,92 CV,manual,5 puertas,Beige,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-acenta-92-en-barcelona.htm?id=7975009,15500
731,Nissan,Juke,1.0 Dig-t Visia 4x2 114,2021,09,40.118 km,Gasolina,114 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-juke-10-dig-t-visia-4x2-114-en-sevilla.htm?id=8112958,18950
732,Nissan,X-Trail,1.3 Dig-t Acenta 4x2 Dct,2019,09,49.331 km,Gasolina,160 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-x-trail-13-dig-t-acenta-4x2-dct-en-sevilla.htm?id=8126185,23450
733,Nissan,Qashqai,1.3 Dig-t Acenta 4x2 103kw,2020,02,52.100 km,Gasolina,140 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-13-dig-t-acenta-4x2-103kw-en-sevilla.htm?id=8121012,19450
734,Nissan,Ariya,Evolve 87 Kwh 4x2,2023,01,10.074 km,Eléctrico,242 CV,"directo, sin caja de cambios",5 puertas,NEGRO METALIZADO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-ariya-evolve-87-kwh-4x2-en-vizcaya.htm?id=8110788,53650
735,Nissan,Juke,1.0 Dig-t Visia 4x2 114,2021,09,65.458 km,Gasolina,114 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-juke-10-dig-t-visia-4x2-114-en-sevilla.htm?id=8045762,18450
736,Nissan,Micra,Ig-t Acenta 92,2022,02,8.738 km,Gasolina,92 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-nissan-micra-ig-t-acenta-92-en-barcelona.htm?id=8043648,14900
737,Nissan,Micra,Ig-t Acenta 92,2021,06,36.773 km,Gasolina,92 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-acenta-92-en-barcelona.htm?id=8025726,13900
738,Nissan,Micra,Ig-t Acenta 92,2022,02,13.441 km,Gasolina,92 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-acenta-92-en-barcelona.htm?id=7942235,14900
739,Nissan,Ariya,Evolve 63 Kwh 4x2,2023,04,725 km,Eléctrico,217 CV,"directo, sin caja de cambios",5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-nissan-ariya-evolve-63-kwh-4x2-en-barcelona.htm?id=7851035,50900
740,Nissan,Micra,Ig-t Acenta 92,2021,03,28.264 km,Gasolina,92 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-acenta-92-en-barcelona.htm?id=7851033,13900
741,Nissan,Micra,Ig-t Acenta 92,2022,03,8.555 km,Gasolina,92 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-nissan-micra-ig-t-acenta-92-en-barcelona.htm?id=7827147,14900
742,Nissan,Micra,Ig-t Acenta 92,2022,02,10.617 km,Gasolina,92 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-acenta-92-en-barcelona.htm?id=7827137,14900
743,Nissan,Micra,Ig-t Acenta 92,2022,02,11.352 km,Gasolina,92 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-acenta-92-en-barcelona.htm?id=7827124,14900
744,Nissan,Micra,Ig-t Acenta 92,2022,02,11.400 km,Gasolina,92 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-acenta-92-en-barcelona.htm?id=7827122,14900
745,Nissan,Leaf,Visia 30kwh,2018,01,58.039 km,Eléctrico,109 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-leaf-visia-30kwh-en-sevilla.htm?id=7566545,12950
746,Nissan,Qashqai,1.3 Dig-t Acenta 4x2 103kw,2019,06,81.330 km,Gasolina,140 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-13-dig-t-acenta-4x2-103kw-en-sevilla.htm?id=8118009,19450
747,Nissan,Qashqai,1.2 Dig-t Visia 4x2,2018,08,55.157 km,Gasolina,115 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-12-dig-t-visia-4x2-en-sevilla.htm?id=8112959,17950
748,Nissan,Micra,Ig-t Acenta Sprint 92,2023,02,11.207 km,Gasolina,92 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-acenta-sprint-92-en-barcelona.htm?id=8081112,16500
